DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3038s', 'timestamp': '2025-10-26T15:40:01.508777', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2936s', 'timestamp': '2025-10-26T15:40:02.117678', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2999s', 'timestamp': '2025-10-26T15:40:02.734969', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2115s', 'timestamp': '2025-10-26T15:40:03.259787', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3006s', 'timestamp': '2025-10-26T15:40:03.860372', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3040s', 'timestamp': '2025-10-26T15:40:04.476958', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2889s', 'timestamp': '2025-10-26T15:40:04.778880', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2950s', 'timestamp': '2025-10-26T15:40:04.166568', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2705s', 'timestamp': '2025-10-26T15:40:03.549896', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2919s', 'timestamp': '2025-10-26T15:40:03.038312', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2929s', 'timestamp': '2025-10-26T15:40:02.424600', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2875s', 'timestamp': '2025-10-26T15:40:01.811724', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2610s', 'timestamp': '2025-10-26T15:40:01.195048', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2900s', 'timestamp': '2025-10-26T15:40:00.681525', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ns17.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2835s', 'timestamp': '2025-10-26T15:40:00.071164', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns17.domaincontrol.com.', 'domain_name': 'dns.fastdns24.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2878s', 'timestamp': '2025-10-26T15:39:59.450998', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns.fastdns24.com.', 'domain_name': 'advertos.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2426s', 'timestamp': '2025-10-26T15:39:58.836183', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: bg.ns.ua. @ Glue IP: 185.136.97.185', 'domain_name': 'kh.ua', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2818s', 'timestamp': '2025-10-26T15:40:05.086943', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ho1.eunic.net.ua. @ Glue IP: 194.58.197.4', 'domain_name': 'kh.ua', 'cache_status': 'MISS', 'dns_server_ip': '185.136.97.185', 'round_trip_time': '0.1862s', 'timestamp': '2025-10-26T15:40:05.295109', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 195.69.185.211', 'domain_name': 'kh.ua', 'cache_status': 'MISS', 'dns_server_ip': '194.58.197.4', 'round_trip_time': '0.2963s', 'timestamp': '2025-10-26T15:40:05.601249', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7965s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'kennethehartman.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2441s', 'timestamp': '2025-10-26T15:40:05.906147', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.wordpress.com. @ Glue IP: 198.181.116.9', 'domain_name': 'kennethehartman.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1946s', 'timestamp': '2025-10-26T15:40:06.110411', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 192.0.78.25', 'domain_name': 'kennethehartman.com', 'cache_status': 'MISS', 'dns_server_ip': '198.181.116.9', 'round_trip_time': '0.1915s', 'timestamp': '2025-10-26T15:40:06.310209', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6492s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'hemcolubricants.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2527s', 'timestamp': '2025-10-26T15:40:06.632021', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: f.ns.se. @ Glue IP: 192.71.53.53', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2056s', 'timestamp': '2025-10-26T15:40:07.137033', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.loopia.se. @ Glue IP: 93.188.0.20', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS', 'dns_server_ip': '192.71.53.53', 'round_trip_time': '0.2837s', 'timestamp': '2025-10-26T15:40:07.439884', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 93.188.0.20', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS', 'dns_server_ip': '93.188.0.20', 'round_trip_time': '0.1999s', 'timestamp': '2025-10-26T15:40:07.647908', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7204s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'hemcolubricants.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2658s', 'timestamp': '2025-10-26T15:40:06.925753', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 194.9.94.85', 'domain_name': 'hemcolubricants.com', 'cache_status': 'MISS', 'dns_server_ip': '93.188.0.20', 'round_trip_time': '0.2026s', 'timestamp': '2025-10-26T15:40:07.856597', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.4779s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'forpsi.net', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2482s', 'timestamp': '2025-10-26T15:40:08.160111', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns.forpsi.net. @ Glue IP: 81.2.194.130', 'domain_name': 'forpsi.net', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.3887s', 'timestamp': '2025-10-26T15:40:08.564838', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 85.255.6.237', 'domain_name': 'forpsi.net', 'cache_status': 'MISS', 'dns_server_ip': '81.2.194.130', 'round_trip_time': '0.2982s', 'timestamp': '2025-10-26T15:40:08.870766', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.9591s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'memeblender.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2556s', 'timestamp': '2025-10-26T15:40:09.186032', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: tara.ns.cloudflare.com. @ Glue IP: 108.162.192.225', 'domain_name': 'memeblender.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2081s', 'timestamp': '2025-10-26T15:40:09.408270', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.114.97.0', 'domain_name': 'memeblender.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.192.225', 'round_trip_time': '0.2708s', 'timestamp': '2025-10-26T15:40:09.692357', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7623s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'somode.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1981s', 'timestamp': '2025-10-26T15:40:09.950156', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'somode.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2385s', 'timestamp': '2025-10-26T15:40:10.200949', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'gamemob.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2575s', 'timestamp': '2025-10-26T15:40:10.517429', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3048s', 'timestamp': '2025-10-26T15:40:11.129795', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1969s', 'timestamp': '2025-10-26T15:40:11.643558', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2947s', 'timestamp': '2025-10-26T15:40:12.257358', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3023s', 'timestamp': '2025-10-26T15:40:12.871498', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3046s', 'timestamp': '2025-10-26T15:40:13.485534', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2278s', 'timestamp': '2025-10-26T15:40:14.006121', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1944s', 'timestamp': '2025-10-26T15:40:14.404926', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1995s', 'timestamp': '2025-10-26T15:40:14.919524', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2018s', 'timestamp': '2025-10-26T15:40:15.429878', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1963s', 'timestamp': '2025-10-26T15:40:15.846073', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2866s', 'timestamp': '2025-10-26T15:40:16.143961', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1982s', 'timestamp': '2025-10-26T15:40:15.642447', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2882s', 'timestamp': '2025-10-26T15:40:15.220769', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2908s', 'timestamp': '2025-10-26T15:40:14.710851', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
