DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: lunlun.ns.giantpanda.com. @ Glue IP: 75.2.60.62', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:50.512351', 'round_trip_time': '0.2708s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'iael.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 139.162.181.76', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:50.820950', 'round_trip_time': '0.2986s', 'total_time_to_resolution': '0.8664s', 'dns_server_ip': '75.2.60.62', 'domain_name': 'iael.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f-dns.pl. @ Glue IP: 194.0.25.29', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:51.136062', 'round_trip_time': '0.2544s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'sailor.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.empresoft.pl. @ Glue IP: 88.99.19.146', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:51.436380', 'round_trip_time': '0.2851s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.25.29', 'domain_name': 'sailor.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 88.99.19.146', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:51.744857', 'round_trip_time': '0.3024s', 'total_time_to_resolution': '0.8635s', 'dns_server_ip': '88.99.19.146', 'domain_name': 'sailor.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:52.056568', 'round_trip_time': '0.2513s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'skyhightmatter.info', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:52.355530', 'round_trip_time': '0.2848s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'skyhightmatter.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:52.672291', 'round_trip_time': '0.2637s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'autopareri.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.dns-parking.com. @ Glue IP: 162.159.24.201', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:52.970759', 'round_trip_time': '0.2871s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'autopareri.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 147.93.94.216', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:53.278485', 'round_trip_time': '0.3001s', 'total_time_to_resolution': '0.8703s', 'dns_server_ip': '162.159.24.201', 'domain_name': 'autopareri.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.dns.it. @ Glue IP: 194.0.16.215', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:53.591007', 'round_trip_time': '0.2459s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cia.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns2.register.it. @ Glue IP: 195.7.227.1', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:53.896051', 'round_trip_time': '0.2924s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.16.215', 'domain_name': 'cia.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 54.228.218.49', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:54.124385', 'round_trip_time': '0.2207s', 'total_time_to_resolution': '0.7799s', 'dns_server_ip': '195.7.227.1', 'domain_name': 'cia.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:54.411199', 'round_trip_time': '0.2252s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'texasbeyondhistory.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: d.edu-servers.net. @ Glue IP: 192.31.80.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:54.922672', 'round_trip_time': '0.2030s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'chisos.ots.utexas.edu.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: chisos.ots.utexas.edu. @ Glue IP: 128.83.185.39', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:55.225071', 'round_trip_time': '0.2889s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.31.80.30', 'domain_name': 'chisos.ots.utexas.edu.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 128.83.185.39', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:55.534853', 'round_trip_time': '0.3029s', 'total_time_to_resolution': '0.8215s', 'dns_server_ip': '128.83.185.39', 'domain_name': 'chisos.ots.utexas.edu.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:54.713322', 'round_trip_time': '0.2864s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'texasbeyondhistory.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 146.6.162.220', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:55.940140', 'round_trip_time': '0.4002s', 'total_time_to_resolution': '1.7545s', 'dns_server_ip': '128.83.185.39', 'domain_name': 'texasbeyondhistory.net', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:56.252197', 'round_trip_time': '0.2498s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'gardenofwords.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.wordpress.com. @ Glue IP: 198.181.116.9', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:56.560779', 'round_trip_time': '0.2932s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'gardenofwords.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 192.0.78.25', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:56.862358', 'round_trip_time': '0.2931s', 'total_time_to_resolution': '0.8611s', 'dns_server_ip': '198.181.116.9', 'domain_name': 'gardenofwords.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.dns.it. @ Glue IP: 194.0.16.215', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:57.173501', 'round_trip_time': '0.2519s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'giuseppelivraghi.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:57.584468', 'round_trip_time': '0.2002s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.dns.it. @ Glue IP: 194.0.16.215', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:58.094048', 'round_trip_time': '0.1974s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: arudns2.aruba.it. @ Glue IP: 94.177.210.15', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:58.400129', 'round_trip_time': '0.2977s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.16.215', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 94.177.210.15', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:58.705614', 'round_trip_time': '0.2932s', 'total_time_to_resolution': '0.8196s', 'dns_server_ip': '94.177.210.15', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:57.885380', 'round_trip_time': '0.2903s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 94.177.210.13', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:59.011869', 'round_trip_time': '0.3000s', 'total_time_to_resolution': '1.6339s', 'dns_server_ip': '94.177.210.15', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:57.377300', 'round_trip_time': '0.1900s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.16.215', 'domain_name': 'giuseppelivraghi.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 89.46.108.54', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:59.319235', 'round_trip_time': '0.3049s', 'total_time_to_resolution': '2.3980s', 'dns_server_ip': '94.177.210.13', 'domain_name': 'giuseppelivraghi.it', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:59.637614', 'round_trip_time': '0.2631s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'hdcric.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.ndsplitter.com. @ Glue IP: 159.69.159.12', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:59.936293', 'round_trip_time': '0.2837s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'hdcric.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 159.69.42.212', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:00.193025', 'round_trip_time': '0.2465s', 'total_time_to_resolution': '0.8192s', 'dns_server_ip': '159.69.159.12', 'domain_name': 'hdcric.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:00.454228', 'round_trip_time': '0.2031s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'chekiang.info', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:00.753265', 'round_trip_time': '0.2787s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'chekiang.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:01.068011', 'round_trip_time': '0.2448s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'archiportale.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: sofia.ns.cloudflare.com. @ Glue IP: 108.162.192.223', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:01.447918', 'round_trip_time': '0.3652s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'archiportale.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.18.13.154', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:01.677164', 'round_trip_time': '0.2055s', 'total_time_to_resolution': '0.8544s', 'dns_server_ip': '108.162.192.223', 'domain_name': 'archiportale.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: y.tldns.vu. @ Glue IP: 156.154.104.22', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:01.985878', 'round_trip_time': '0.2464s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'de.vu', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:02.499916', 'round_trip_time': '0.2770s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns2.variomedia.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.variomedia.de. @ Glue IP: 185.95.96.53', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:02.806956', 'round_trip_time': '0.2978s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.0.53', 'domain_name': 'ns2.variomedia.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 185.95.98.53', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:03.107683', 'round_trip_time': '0.2950s', 'total_time_to_resolution': '0.8886s', 'dns_server_ip': '185.95.96.53', 'domain_name': 'ns2.variomedia.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:02.218949', 'round_trip_time': '0.2213s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '156.154.104.22', 'domain_name': 'de.vu', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 81.28.232.69', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:03.518787', 'round_trip_time': '0.4058s', 'total_time_to_resolution': '1.7798s', 'dns_server_ip': '185.95.98.53', 'domain_name': 'de.vu', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:03.829918', 'round_trip_time': '0.2487s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'teachmyass.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:04.340860', 'round_trip_time': '0.2043s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns16.abovedomains.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.abovedomains.com. @ Glue IP: 103.224.182.9', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:04.648328', 'round_trip_time': '0.2902s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns16.abovedomains.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 152.53.164.210', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:05.055415', 'round_trip_time': '0.3989s', 'total_time_to_resolution': '0.9246s', 'dns_server_ip': '103.224.182.9', 'domain_name': 'ns16.abovedomains.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:04.130943', 'round_trip_time': '0.2912s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'teachmyass.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 103.224.182.212', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:05.363565', 'round_trip_time': '0.3030s', 'total_time_to_resolution': '1.7828s', 'dns_server_ip': '152.53.164.210', 'domain_name': 'teachmyass.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:05.677602', 'round_trip_time': '0.2559s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'nasaspaceflight.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: cody.ns.cloudflare.com. @ Glue IP: 108.162.193.107', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:05.880774', 'round_trip_time': '0.1879s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'nasaspaceflight.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.66.40.183', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:06.085822', 'round_trip_time': '0.1856s', 'total_time_to_resolution': '0.6647s', 'dns_server_ip': '108.162.193.107', 'domain_name': 'nasaspaceflight.com', 'cache_status': 'MISS'}
